fecha,categoria,precio_promedio,precio_mediano,estaciones
2026-02-10,Resto mercado,23.83995642701525,23.99,459
2026-02-11,Otra cara,24.99,24.99,1
2026-02-11,Petromax cara,24.38090909090909,24.39,11
2026-02-11,Petromax precio mercado,23.99,23.99,102
2026-02-11,Resto mercado,23.83995642701525,23.99,459
2026-02-12,Otra cara,24.99,24.99,1
2026-02-12,Petromax cara,24.38090909090909,24.39,11
2026-02-12,Petromax precio mercado,23.99,23.99,102
2026-02-12,Resto mercado,23.83995642701525,23.99,459
2026-02-13,Otra cara,24.99,24.99,1
2026-02-13,Petromax cara,24.38090909090909,24.39,11
2026-02-13,Petromax precio mercado,23.99,23.99,102
2026-02-13,Resto mercado,23.83995642701525,23.99,459
2026-02-14,Otra cara,24.99,24.99,1
2026-02-14,Petromax cara,24.38090909090909,24.39,11
2026-02-14,Petromax precio mercado,23.99,23.99,102
2026-02-14,Resto mercado,23.83995642701525,23.99,459
2026-02-15,Otra cara,24.99,24.99,1
2026-02-15,Petromax cara,24.38090909090909,24.39,11
2026-02-15,Petromax precio mercado,23.99,23.99,102
2026-02-15,Resto mercado,23.83995642701525,23.99,459
2026-02-16,Otra cara,24.99,24.99,1
2026-02-16,Petromax cara,24.38090909090909,24.39,11
2026-02-16,Petromax precio mercado,23.99,23.99,102
2026-02-16,Resto mercado,23.839628820960698,23.99,458
2026-02-17,Otra cara,24.99,24.99,1
2026-02-17,Petromax cara,24.38090909090909,24.39,11
2026-02-17,Petromax precio mercado,23.99,23.99,102
2026-02-17,Resto mercado,23.839628820960698,23.99,458
2026-02-18,Otra cara,24.99,24.99,1
2026-02-18,Petromax cara,24.38090909090909,24.39,11
2026-02-18,Petromax precio mercado,23.99,23.99,102
2026-02-18,Resto mercado,23.839628820960698,23.99,458
2026-02-19,Otra cara,24.99,24.99,1
2026-02-19,Petromax cara,24.38090909090909,24.39,11
2026-02-19,Petromax precio mercado,23.99,23.99,102
2026-02-19,Resto mercado,23.831113537117904,23.99,458
2026-02-20,Otra cara,24.99,24.99,1
2026-02-20,Petromax cara,24.38090909090909,24.39,11
2026-02-20,Petromax precio mercado,23.99,23.99,102
2026-02-20,Resto mercado,23.8190652173913,23.99,460
2026-02-21,Otra cara,24.99,24.99,1
2026-02-21,Petromax cara,24.38090909090909,24.39,11
2026-02-21,Petromax precio mercado,23.99,23.99,102
2026-02-21,Resto mercado,23.818847826086955,23.99,460
2026-02-22,Otra cara,24.99,24.99,1
2026-02-22,Petromax cara,24.38090909090909,24.39,11
2026-02-22,Petromax precio mercado,23.99,23.99,102
2026-02-22,Resto mercado,23.818847826086955,23.99,460
2026-02-23,Otra cara,24.99,24.99,1
2026-02-23,Petromax cara,24.38090909090909,24.39,11
2026-02-23,Petromax precio mercado,23.99,23.99,102
2026-02-23,Resto mercado,23.815553145336224,23.99,461
2026-02-24,Otra cara,24.99,24.99,1
2026-02-24,Petromax cara,24.38090909090909,24.39,11
2026-02-24,Petromax precio mercado,23.99,23.99,102
2026-02-24,Resto mercado,23.816095444685466,23.99,461
2026-02-25,Otra cara,24.99,24.99,1
2026-02-25,Petromax cara,24.38090909090909,24.39,11
2026-02-25,Petromax precio mercado,23.99,23.99,102
2026-02-25,Resto mercado,23.815531453362254,23.99,461
2026-02-26,Otra cara,24.99,24.99,1
2026-02-26,Petromax cara,24.38090909090909,24.39,11
2026-02-26,Petromax precio mercado,23.99,23.99,102
2026-02-26,Resto mercado,23.81531453362256,23.99,461
2026-02-27,Otra cara,24.99,24.99,1
2026-02-27,Petromax cara,24.38090909090909,24.39,11
2026-02-27,Petromax precio mercado,23.99,23.99,102
2026-02-27,Resto mercado,23.81054229934924,23.99,461
2026-02-28,Otra cara,24.99,24.99,1
2026-02-28,Petromax cara,24.38090909090909,24.39,11
2026-02-28,Petromax precio mercado,23.99,23.99,102
2026-02-28,Resto mercado,23.81054229934924,23.99,461
