permiso,razon_social,categoria,lat,lng,coordenadas,precio_mediano
PL/7153/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.59838,-100.0284,"25.59838,-100.0284",23.99
PL/7157/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.6756,-100.3639,"25.6756,-100.3639",23.99
PL/7160/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.71264,-100.3468,"25.71264,-100.3468",23.99
PL/7162/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.56582,-100.2392,"25.56582,-100.2392",23.99
PL/7165/EXP/ES/2015,Servicio Vigori Sa de Cv,Resto mercado,25.65583,-100.1309,"25.65583,-100.1309",22.99
PL/7184/EXP/ES/2015,Servicio Los Galenos S a de C V,Resto mercado,25.89355,-100.3501,"25.89355,-100.3501",23.45
PL/7186/EXP/ES/2015,Servicios el Fraile Sa de Cv,Resto mercado,25.94132,-100.4051,"25.94132,-100.4051",22.99
PL/7240/EXP/ES/2015,Edelgas S.A. de C.V.,Resto mercado,25.63395,-100.2728,"25.63395,-100.2728",
PL/7364/EXP/ES/2015,Grupo Gas W S.A. de C.V.,Resto mercado,25.69221,-100.2418,"25.69221,-100.2418",23.49
PL/7489/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.70469,-100.3418,"25.70469,-100.3418",23.99
PL/7491/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.61094,-100.2707,"25.61094,-100.2707",23.99
PL/7493/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.71437,-100.3507,"25.71437,-100.3507",23.99
PL/7496/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.68524,-100.4443,"25.68524,-100.4443",23.99
PL/7497/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.70812,-100.3558,"25.70812,-100.3558",23.99
PL/7612/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.65615,-100.3873,"25.65615,-100.3873",23.99
PL/7615/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.67082,-100.3965,"25.67082,-100.3965",23.99
PL/7646/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.73676,-100.2069,"25.73676,-100.2069",23.99
PL/7649/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.73019,-100.3463,"25.73019,-100.3463",23.99
PL/7651/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.74895,-100.2809,"25.74895,-100.2809",23.99
PL/7652/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.76253,-100.372,"25.76253,-100.372",23.99
PL/7653/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.72169,-100.2028,"25.72169,-100.2028",23.99
PL/7655/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.70467,-100.3482,"25.70467,-100.3482",23.99
PL/7656/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.70126,-100.3618,"25.70126,-100.3618",23.99
PL/7657/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.68672,-100.3307,"25.68672,-100.3307",23.99
PL/7658/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.71665,-100.3466,"25.71665,-100.3466",23.99
PL/7660/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.7326,-100.2488,"25.7326,-100.2488",23.99
PL/7661/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.78969,-100.1463,"25.78969,-100.1463",23.99
PL/7662/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.7352,-100.3427,"25.7352,-100.3427",23.99
PL/7664/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.74228,-100.5146,"25.74228,-100.5146",23.99
PL/7665/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.73783,-100.3506,"25.73783,-100.3506",23.99
PL/7668/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.76884,-100.279,"25.76884,-100.279",23.99
PL/7671/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.68546,-100.4438,"25.68546,-100.4438",23.99
PL/7677/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.78137,-100.3105,"25.78137,-100.3105",23.99
PL/7678/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.69303,-100.1831,"25.69303,-100.1831",23.99
PL/7679/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.72333,-100.337,"25.72333,-100.337",23.99
PL/7680/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.77721,-100.3182,"25.77721,-100.3182",23.99
PL/7757/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.73972,-100.2391,"25.73972,-100.2391",23.99
PL/7759/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.6489,-100.3294,"25.6489,-100.3294",23.99
PL/7761/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.75366,-100.2362,"25.75366,-100.2362",23.99
PL/7764/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.68617,-100.2688,"25.68617,-100.2688",23.99
PL/7765/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.69522,-100.2304,"25.69522,-100.2304",23.99
PL/7766/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.65154,-100.1073,"25.65154,-100.1073",23.99
PL/7768/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.68273,-100.266,"25.68273,-100.266",23.99
PL/7783/EXP/ES/2015,Pablo Esquivel Laureano,Resto mercado,25.68087,-100.3223,"25.68087,-100.3223",23.88
PL/7784/EXP/ES/2015,Jesus Aguirre Vega,Resto mercado,25.68335,-100.3126,"25.68335,-100.3126",23.88
PL/7785/EXP/ES/2015,"Servicio Obregon, S. de R.L.",Resto mercado,25.68184,-100.2968,"25.68184,-100.2968",23.88
PL/7827/EXP/ES/2015,Servicio Gas Lincoln S.A. de C.V.,Resto mercado,25.77963,-100.4541,"25.77963,-100.4541",23.03
PL/7833/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.78962,-100.3053,"25.78962,-100.3053",23.99
PL/7837/EXP/ES/2015,Gas Nuevo Milenio S.A. de C.V.,Resto mercado,25.72365,-100.214,"25.72365,-100.214",23.99
PL/7839/EXP/ES/2015,Gas Nuevo Milenio S.A. de C.V.,Resto mercado,25.73742,-100.3325,"25.73742,-100.3325",23.99
PL/7842/EXP/ES/2015,"Energeticos y Derivados San Roque, S. A. de C. V.",Resto mercado,25.65288,-100.2054,"25.65288,-100.2054",23.99
PL/7849/EXP/ES/2015,"Centro de Servicio Las Palmas, S. A. de C. V.",Resto mercado,25.67532,-100.2131,"25.67532,-100.2131",23.99
PL/7865/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.76904,-100.3679,"25.76904,-100.3679",23.99
PL/7866/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.7779,-100.3847,"25.7779,-100.3847",23.99
PL/7867/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.74677,-100.1918,"25.74677,-100.1918",23.99
PL/7869/EXP/ES/2015,Gas Nuevo Milenio S.A. de C.V.,Resto mercado,25.72575,-100.3535,"25.72575,-100.3535",23.99
PL/7870/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.67412,-100.3578,"25.67412,-100.3578",23.99
PL/7871/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.74775,-100.3446,"25.74775,-100.3446",23.99
